"BuName","SOBName","AcctsPaySegments","PrepaySegments","FutureDatedPaymentSegments","RateVarGainSegments","RateVarLossSegments","DiscTakenSegments","MiscChargeSegments","FreightSegments","PrepayTaxDiffSegments","GainSegments","LossSegments","ExpenseAccrualSegments","LastUpdateDate","LastUpdatedBy","PaymentMethodLookupCode","UserDefinedVendorNumCode","VendorNumStartNum","AlwaysTakeDiscFlag","PayDateBasisLookupCode","InvoiceCurrencyCode","PaymentCurrencyCode","FuturePeriodLimit","ReqEncumbranceFlag","PurchEncumbranceFlag","ManualVendorNumType","LastUpdateLogin","CreationDate","CreatedBy","ReceiptAcceptanceDays","TermsDateBasis","HoldUnmatchedInvoicesFlag","ExclusivePaymentFlag","VatRegistrationNum","VatCountryCode","BankChargeBearer","MatchOption","GlobalAttributeCategory","GlobalAttribute1","GlobalAttribute2","GlobalAttribute3","GlobalAttribute4","GlobalAttribute5","GlobalAttribute6","GlobalAttribute7","GlobalAttribute8","GlobalAttribute9","GlobalAttribute10","GlobalAttribute11","GlobalAttribute12","GlobalAttribute13","GlobalAttribute14","GlobalAttribute15","GlobalAttribute16","GlobalAttribute17","GlobalAttribute18","GlobalAttribute19","GlobalAttribute20","NrTaxRounding","BuyingCompanyIdentifier","GaplessInvNumFlag","ExpenseAccrualCode","AutomaticOffsetsFlag","AutomaticOffsetsChangeFlag","LiabilityPostLookupCode","TransEffectiveStartDate","TransEffectiveEndDate","MakeRateMandatoryFlag","EnterpriseId","EffectiveStartDate","EffectiveEndDate","SetCode","InternalLocationCode","MakeRateMandatoryPmtFlag","UserConversionRateType","UserDefaultPmtExchangeRateType","OneTimePayLiabSegments","OneTimePayExpenseSegments","RetainageSegments","UnclaimedFundsSegments"
"Canada","Canada Ledger","151
00000
2000100
000
0000
0000
00000























","151
00000
1910010
000
0000
0000
00000























","","151
30401
7300020
000
0000
0000
00000























","151
30401
7300020
000
0000
0000
00000























","151
30401
6800070
000
0000
0000
00000























","","","","151
30401
7300010
000
0000
0000
00000























","151
30401
7300010
000
0000
0000
00000























","","2025/11/25 23:11:41.827","akuppili@squareup.com","","","","","","","","","","","","4360992960F09C6DE063C261500AC24B","2018/06/11 01:44:51.001","pavan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","Toronto","N","Corporate","Corporate","151
00000
2000100
000
0000
0000
00000























","","",""
"Ireland","Ireland Ledger","312
00000
2000100
000
0000
0000
00000























","312
00000
1910010
000
0000
0000
00000























","","312
30401
7300020
000
0000
0000
00000























","312
30401
7300020
000
0000
0000
00000























","312
30401
6800070
000
0000
0000
00000























","","","","312
30401
7300010
000
0000
0000
00000























","312
30401
7300010
000
0000
0000
00000























","","2025/09/25 00:06:42.768","block_hbs_admin@block.xyz","","","","","","","","","","","","3F8CBA5FC1DEA0E2E0634893500AA2BA","2018/10/01 19:40:07.001","mukund1@squareup.com","","","","","","IE","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","Y","BALANCING_SEGMENT","","","N","1","1951/01/01","4712/12/31","COMMON","Dublin","Y","Corporate","Corporate","","","",""
"Square Financial Services (US) - 131","Financial Services Ledger","131
00000
2000100
000
0000
0000
00000























","131
00000
1910010
000
0000
0000
00000























","","131
30401
7300020
000
0000
0000
00000























","131
30401
7300020
000
0000
0000
00000























","131
30401
6800070
000
0000
0000
00000























","","","","131
30401
7300010
000
0000
0000
00000























","131
30401
7300010
000
0000
0000
00000























","","2021/02/26 18:59:49.866","srimanth@squareup.com","","","","","","","","","","","","BBD527FC822E1668E053A062500AEA1E","2021/02/26 18:54:43.001","srimanth@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","2018/11/21","4712/12/31","COMMON","US - UT - Salt Lake City","Y","Corporate","Corporate","131
00000
2000100
000
0000
0000
00000























","131
00000
2300900
000
0000
0000
00000























","",""
"Netherlands","Netherlands Ledger","311
00000
2000100
000
0000
0000
00000























","311
00000
1910010
000
0000
0000
00000























","","311
30401
7300020
000
0000
0000
00000























","311
30401
7300020
000
0000
0000
00000























","311
30401
6800070
000
0000
0000
00000























","","","","311
30401
7300010
000
0000
0000
00000























","311
30401
7300010
000
0000
0000
00000























","","2021/06/29 09:52:31.37","viyan@squareup.com","","","","","","","","","","","","C2E8FE3422254FC7E053A162500A04A1","2021/06/29 09:48:50.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","NL-Amsterdam","Y","Corporate","Corporate","311
00000
2000100
000
0000
0000
00000























","311
00000
2300900
000
0000
0000
00000























","",""
"Australia","Australia Ledger","250
00000
2000100
000
0000
0000
00000























","250
00000
1910010
000
0000
0000
00000























","","250
30401
7300020
000
0000
0000
00000























","250
30401
7300020
000
0000
0000
00000























","250
30401
6800070
000
0000
0000
00000























","","","","250
30401
7300010
000
0000
0000
00000























","250
30401
7300010
000
0000
0000
00000























","","2025/09/25 00:04:13.741","block_hbs_admin@block.xyz","","","","","","","","","","","","3F8CBA5FC1DEA0E2E0634893500AA2BA","2018/10/01 19:16:05.001","mukund1@squareup.com","","","","","38167106176","AU","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","Y","BALANCING_SEGMENT","","","N","1","2024/07/18","4712/12/31","COMMON","Square AU Pty. Ltd.","Y","Corporate","Corporate","","","",""
"US","US Ledger","101
00000
2000100
000
0000
0000
00000























","101
00000
1910010
000
0000
0000
00000























","","101
30401
7300020
000
0000
0000
00000























","101
30401
7300020
000
0000
0000
00000























","101
30401
6800070
000
0000
0000
00000























","","","","101
30401
7300010
000
0000
0000
00000























","101
30401
7300010
000
0000
0000
00000























","","2024/08/25 15:55:44.178","asagade@block.xyz","","","","","","","","","","","","202F60BD0F95FDC9E0634893500AC88B","2018/06/11 01:32:24.001","pavan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","2022/11/11","4712/12/31","COMMON","San Francisco","N","Corporate","Corporate","101
00000
2000100
000
0000
0000
00000























","101
00000
2300900
000
0000
0000
00000























","","101
00000
2400900
000
0000
0000
00000























"
"Japan","Japan Ledger","210
00000
2000100
000
0000
0000
00000























","210
00000
1910010
000
0000
0000
00000























","","210
30401
7300020
000
0000
0000
00000























","210
30401
7300020
000
0000
0000
00000























","210
30401
6800070
000
0000
0000
00000























","","","","210
30401
7300010
000
0000
0000
00000























","210
30401
7300010
000
0000
0000
00000























","","2025/09/25 00:06:02.046","block_hbs_admin@block.xyz","","","","","","","","","","","","3F8CBA5FC1DEA0E2E0634893500AA2BA","2019/12/20 00:52:57.885","mukund1@squareup.com","","","","","","JP","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","N","Y","NONE","","","N","1","1951/11/21","4712/12/31","COMMON","JP - TO - Minato","Y","Corporate","Corporate","","","",""
"Sweden","Sweden Ledger","316
00000
2000100
000
0000
0000
00000























","316
00000
1910010
000
0000
0000
00000























","","316
30401
7300020
000
0000
0000
00000























","316
30401
7300020
000
0000
0000
00000























","316
30401
6800070
000
0000
0000
00000























","","","","316
30401
7300010
000
0000
0000
00000























","316
30401
7300010
000
0000
0000
00000























","","2022/10/12 16:59:26.051","viyan@squareup.com","","","","","","","","","","","","EACBDF365F6A148DE0539696500A9133","2022/09/23 05:48:45.662","viyan@squareup.com","","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PERIOD END","Y","Y","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","SE-STOCKHOLM- Advokatfirma","N","Corporate","Corporate","316
00000
2000100
000
0000
0000
00000























","316
00000
2300900
000
0000
0000
00000























","",""
"UK","UK Ledger","302
00000
2000100
000
0000
0000
00000























","302
00000
1910010
000
0000
0000
00000























","","302
30401
7300020
000
0000
0000
00000























","302
30401
7300020
000
0000
0000
00000























","302
30401
6800070
000
0000
0000
00000























","","","","302
30401
7300010
000
0000
0000
00000























","302
30401
7300010
000
0000
0000
00000























","","2025/09/25 00:06:20.531","block_hbs_admin@block.xyz","","","","","","","","","","","","3F8CBA5FC1DEA0E2E0634893500AA2BA","2018/10/01 20:06:48.001","mukund1@squareup.com","","","","","","GB","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","N","1","2020/08/01","4712/12/31","COMMON","GB - London","Y","Corporate","Corporate","","","",""
"Global Risk Engagement B.V. (TWN) - 215","Taiwan Ledger","215
00000
2000100
000
0000
0000
00000























","215
00000
1910010
000
0000
0000
00000























","","215
30401
7300020
000
0000
0000
00000























","215
30401
7300020
000
0000
0000
00000























","215
30401
6800070
000
0000
0000
00000























","","","","215
30401
7300010
000
0000
0000
00000























","215
30401
7300010
000
0000
0000
00000























","","2021/06/04 06:42:35.056","viyan@squareup.com","","","","","","","","","","","","C39983A111C2AC4FE053A062500A5750","2021/06/04 06:38:44.001","viyan@squareup.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","PERIOD END","Y","","BALANCING_SEGMENT","","","Y","1","1951/01/01","4712/12/31","COMMON","TW - Taipei","Y","Corporate","Corporate","215
00000
2000100
000
0000
0000
00000























","215
00000
2300900
000
0000
0000
00000























","",""
