"FUN_BUSINESS_UNIT.Name","ModuleId","ConfigurationStatus","CreatedBy","CreationDate","LastUpdatedBy","LastUpdateDate","LastUpdateLogin"
"Afterpay Asia Pte. Ltd (previously Touchcorp Asia) (SG) - 203","80","Y","viyan@squareup.com","2022/06/09 10:15:12.0","viyan@squareup.com","2022/06/09 10:15:12.031","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Asia Pte. Ltd (previously Touchcorp Asia) (SG) - 203","120","Y","viyan@squareup.com","2022/06/09 10:15:12.004","viyan@squareup.com","2022/06/09 10:15:12.032","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Australia Pty Ltd (AU) - 268","80","Y","viyan@squareup.com","2022/06/09 09:52:55.0","viyan@squareup.com","2022/06/09 09:52:55.043","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Australia Pty Ltd (AU) - 268","120","Y","viyan@squareup.com","2022/06/09 09:52:55.007","viyan@squareup.com","2022/06/09 09:52:55.044","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Canada Limited (CA) - 153","80","Y","viyan@squareup.com","2022/06/09 10:06:08.0","viyan@squareup.com","2022/06/09 10:06:08.034","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Canada Limited (CA) - 153","120","Y","viyan@squareup.com","2022/06/09 10:06:08.009","viyan@squareup.com","2022/06/09 10:06:08.036","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Corporate Services Pty Ltd (AU) - 264","80","Y","viyan@squareup.com","2022/06/09 09:51:58.0","viyan@squareup.com","2022/06/09 09:51:58.035","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Corporate Services Pty Ltd (AU) - 264","120","Y","viyan@squareup.com","2022/06/09 09:51:58.007","viyan@squareup.com","2022/06/09 09:51:58.036","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Information Technology Service (Shanghai) Co., Ltd. (CN) - 221","80","Y","viyan@squareup.com","2022/06/09 10:12:21.0","viyan@squareup.com","2022/06/09 10:12:21.03","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Information Technology Service (Shanghai) Co., Ltd. (CN) - 221","120","Y","viyan@squareup.com","2022/06/09 10:12:21.005","viyan@squareup.com","2022/06/09 10:12:21.031","E0F8A667A219DD8AE0539696500A8687"
"Afterpay NZ Limited (NZ) - 231","80","Y","viyan@squareup.com","2022/06/09 10:13:29.0","viyan@squareup.com","2022/06/09 10:13:29.263","E0F8A667A219DD8AE0539696500A8687"
"Afterpay NZ Limited (NZ) - 231","120","Y","viyan@squareup.com","2022/06/09 10:13:29.045","viyan@squareup.com","2022/06/09 10:13:29.267","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Pty Ltd (AU) - 261","80","Y","viyan@squareup.com","2022/06/09 09:50:28.0","viyan@squareup.com","2022/06/09 09:50:28.429","E0F8A667A219DD8AE0539696500A8687"
"Afterpay Pty Ltd (AU) - 261","120","Y","viyan@squareup.com","2022/06/09 09:50:28.086","viyan@squareup.com","2022/06/09 09:50:28.44","E0F8A667A219DD8AE0539696500A8687"
"Afterpay US Services, LLC (US)-144","80","Y","viyan@squareup.com","2022/06/09 10:24:14.0","viyan@squareup.com","2022/06/09 10:24:14.156","E0F8A667A219DD8AE0539696500A8687"
"Afterpay US Services, LLC (US)-144","120","Y","viyan@squareup.com","2022/06/09 10:24:14.006","viyan@squareup.com","2022/06/09 10:24:14.158","E0F8A667A219DD8AE0539696500A8687"
"Afterpay US, Inc. (US) - 141","80","Y","viyan@squareup.com","2022/06/09 10:22:53.0","viyan@squareup.com","2022/06/09 10:22:53.031","E0F8A667A219DD8AE0539696500A8687"
"Afterpay US, Inc. (US) - 141","120","Y","viyan@squareup.com","2022/06/09 10:22:53.005","viyan@squareup.com","2022/06/09 10:22:53.033","E0F8A667A219DD8AE0539696500A8687"
"Aspiro AB (SE) - 320","80","Y","viyan@squareup.com","2021/12/15 09:25:17.0","viyan@squareup.com","2021/12/15 09:25:17.052","D134B5C991DDB154E053A062500A57A9"
"Aspiro AB (SE) - 320","120","Y","viyan@squareup.com","2021/12/15 09:25:17.009","viyan@squareup.com","2021/12/15 09:25:17.054","D134B5C991DDB154E053A062500A57A9"
"Australia","10","Y","pavan1@squareup.com","2018/09/28 05:39:49.0","pavan1@squareup.com","2018/09/28 05:39:51.01","760586B287BC72C3E053120C1B0A194C"
"Australia","20","Y","pavan1@squareup.com","2018/09/28 05:39:49.009","pavan1@squareup.com","2018/09/28 05:39:51.014","760586B287BC72C3E053120C1B0A194C"
"Australia","30","Y","mukund1@squareup.com","2018/09/27 18:55:11.0","mukund1@squareup.com","2018/09/27 18:55:11.931","76058A3A4B2D72FAE053120C1B0AD89D"
"Australia","40","Y","mukund1@squareup.com","2018/09/27 18:55:11.044","mukund1@squareup.com","2018/09/27 18:55:11.937","76058A3A4B2D72FAE053120C1B0AD89D"
"Australia","70","Y","mukund1@squareup.com","2018/09/27 18:55:11.04","mukund1@squareup.com","2018/09/27 18:55:11.935","76058A3A4B2D72FAE053120C1B0AD89D"
"Australia","80","Y","venkat@squareup.com","2018/09/28 02:38:14.0","venkat@squareup.com","2018/09/28 02:38:14.303","76058A156AB67316E053120C1B0A6758"
"Australia","90","Y","mukund1@squareup.com","2018/09/27 18:55:11.042","mukund1@squareup.com","2018/09/27 18:55:11.937","76058A3A4B2D72FAE053120C1B0AD89D"
"Australia","110","Y","venkat@squareup.com","2018/09/28 02:38:14.055","venkat@squareup.com","2018/09/28 02:38:14.306","76058A156AB67316E053120C1B0A6758"
