"EffectiveStartDate","ClassificationCode","OrganizationCode","EffectiveEndDate","InternalAddressLine","InternalExternalFlag","LegislationCode","Name","Status","AllocateSerialFlag","AllowDifferentStatus","AllowNegOnhandCcTxns","AutoBreakdownEnabled","AutoDelAllocFlag","AutoLotAlphaPrefix","AutoSerialAlphaPrefix","CapturePickingException","ChildLotAlphaPrefix","ChildLotNumberLength","ChildLotValidationFlag","ChildLotZeroPaddingFlag","CopyLotAttributeFlag","CreateLotUomConversion","DefaultLocatorOrderValue","DefaultSubinvOrderValue","DistributedOrganizationFlag","EnforceLocatorAlisUnqFlag","FifoOrigRcptDateFlag","FillKillMoveOrderFlag","InventoryFlag","LotNumberGeneration","LotNumberLength","LotNumberUniqueness","LotNumberZeroPadding","LpnPrefix","LpnStartingNumber","LpnSuffix","MoPickConfirmRequired","NegativeInvReceiptCode","OvpkTransferOrdersEnabled","ParentChildGenerationFlag","PickSlipBatchSize","PreFillPickedQty","PurchasingByRevision","ReplnshMoveOrderGrouping","RoundReorderQtyFlag","SerialNumberGeneration","SerialNumberType","StandardPackEnabled","StartAutoSerialNumber","StartingRevision","StockLocatorControlCode","TotalLpnLength","Ucc128SuffixFlag","InternalLocationCode","LocationEffectiveEndDate","LocationEffectiveStartDate","LocationSetCode","BusinessUnitName","RuleName","ReasonName","LegalEntityIdentifier","ScheduleName","MasterOrgCode","ProfitCenterBuName","MfgPlantFlag","ContractMfgFlag","SupplierName","SupplierSiteName","EamEnabledFlag","TimezoneCode","FillKillTransferOrdersFlag","IntegratedSystemCode","ItemGroupingCode","ItemDefinitionOrgCode","AttributeCategory","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","AttributeDate1","AttributeDate2","AttributeDate3","AttributeDate4","AttributeDate5","AttributeNumber1","AttributeNumber2","AttributeNumber3","AttributeNumber4","AttributeNumber5","AttributeNumber6","AttributeNumber7","AttributeNumber8","AttributeNumber9","AttributeNumber10","AttributeTimestamp1","AttributeTimestamp2","AttributeTimestamp3","AttributeTimestamp4","AttributeTimestamp5","SourceType","ProjectReferenceEnabled","TrackCountryOfOriginFlag","InternalCustomerFlag","CustomerAccountNumber","PartyName","UseCurItemCostFlag","SpecialHndlngOvrpkFlag","FABookTypeCode","AllowItemSubstitutions","WmsWithMfgAlm","FillKillSalesOrderFlag","KanbanCardPrefix","KanbanCardStartNumber","MaintTechWbEnabledFlag","ExpiredLotSubinventory","ExpiredSubinventorySIN","ExpiredLotLocation"
"0001/01/01","INV","FLX","4712/12/31","","INT","","FLX Warehouse","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","2","","","","","","","","1","1","","1","0","1","","","FLX_MAIN","4712/12/31","2020/02/27","COMMON","US","","","LE_001","Updated Square Schedule","MAS","US","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","FLX","SQ SDM Planning","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","BRS","4712/12/31","","INT","","BRS Warehouse","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","2","","","","","","","","1","1","","1","0","1","","","Squareup UK Ltd ℅ Expeditors Intl UK Ltd (Inventory)","4712/12/31","2020/03/22","COMMON","UK","","","LE_302","Updated Square Schedule","MAS","UK","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","BRS","SQ SDM Planning","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","IRL","4712/12/31","","INT","","IRL Warehouse","I","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","2","","","","","","","","1","1","","1","0","1","","","Squareup UK Ltd ℅ Expeditors Intl UK Ltd (Inventory)","4712/12/31","2020/03/22","COMMON","Ireland","","","LE_312","Updated Square Schedule","MAS","Ireland","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","IRL","SQ SDM Planning","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","IESILFR","4712/12/31","","INT","","IE SIL FRANCE Inventory Org","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","France","4712/12/31","2010/01/01","COMMON","Squareup International Limited, Succursale en France (IE) - 329","","","LE_329","Updated Square Schedule","MAS","Squareup International Limited, Succursale en France (IE) - 329","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","IESILFR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","JPY","4712/12/31","","INT","","Japan","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","TYO Square KK Tokyo Office","4712/12/31","1951/01/01","COMMON","Japan","","","LE_0006","Square Schedule","MAS","","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","JPY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","IESI","4712/12/31","","INT","","IE Squareup Intl Inventory Org","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","Dublin","4712/12/31","1951/01/01","COMMON","Squareup International Limited (IE) - 312","","","LE_312","Updated Square Schedule","MAS","Squareup International Limited (IE) - 312","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","IESI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","MEL","4712/12/31","","INT","","MEL Warehouse","I","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","Square AU c/o Expeditors AU","4712/12/31","2018/10/31","COMMON","Australia","","","LE_250","Updated Square Schedule","MAS","Australia","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","MEL","SQ SDM Planning","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","SFS_US","4712/12/31","","INT","","SFS Warehouse","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","US - UT - Salt Lake City","4712/12/31","2018/11/21","COMMON","Square Financial Services (US) - 131","","","LE_131","Square Schedule","MAS","","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","SFS_US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","SCI151","4712/12/31","","INT","","Square Canada Inc. 151","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","CA - ON - North York","4712/12/31","2018/11/21","COMMON","Square Canada Inc (CA) - 151","","","LE_151","Square Schedule","MAS","","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","SCI151","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
"0001/01/01","INV","SCI","4712/12/31","","INT","","Square Canada Inc.","A","","","","N","","","","Y","","","","","","","","","","","","","Y","2","30","2","","","","","","1","","","","","","","","1","1","","1","0","1","","","CA - ON - Toronto - 151","4712/12/31","1951/01/01","COMMON","Canada","","","LE_151","Square Schedule","MAS","","","","","","","UTC","","ORA_RCS_IS_INVMGMT","ORA_RCS_IGB_DFTN","SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","N","N","N","","","N","","",""
