"LegalEntityIdentifier","ShortCode","EnterpriseId","TableName","DeterminantType","MinimumDigits","Prefix","Suffix"
"LE_250","","","PURCHASE_ORDER","SOLD_TO_LE","","AU250-",""
"LE_312","","","PURCHASE_ORDER","SOLD_TO_LE","","IE312-",""
"LE_302","","","PURCHASE_ORDER","SOLD_TO_LE","","GB302-",""
"LE_0006","","","PURCHASE_ORDER","SOLD_TO_LE","","JP210-",""
"LE_301","","","PURCHASE_ORDER","SOLD_TO_LE","","GB301-",""
"LE_303","","","PURCHASE_ORDER","SOLD_TO_LE","","GB303-",""
"","Spain","1","REQUISITION","REQUISITIONING_BU","","PR313-",""
"","Lithuania","1","REQUISITION","REQUISITIONING_BU","","PR314-",""
"LE_313","","","PURCHASE_ORDER","SOLD_TO_LE","","ES313-",""
"LE_314","","","PURCHASE_ORDER","SOLD_TO_LE","","LT314-",""
"","Cash App Innovation (UK) Ltd - 304","1","REQUISITION","REQUISITIONING_BU","","PR304-",""
"LE_304","","","PURCHASE_ORDER","SOLD_TO_LE","","UK304-",""
"","Cash App Innovation (IE) Limited - 319","1","REQUISITION","REQUISITIONING_BU","","PR319-",""
"LE_319","","","PURCHASE_ORDER","SOLD_TO_LE","","IE319-",""
"","Square Capel (IE) Limited - 318","1","REQUISITION","REQUISITIONING_BU","","PR318-",""
"LE_318","","","PURCHASE_ORDER","SOLD_TO_LE","","IE318-",""
"LE_131","","","PURCHASE_ORDER","SOLD_TO_LE","","SFS131-",""
"","Square Financial Services (US) - 131","1","REQUISITION","REQUISITIONING_BU","","PR131-",""
"","Squareup GmbH (DE) - 317","1","REQUISITION","REQUISITIONING_BU","","PR317-",""
"","Aspiro AB (SE) - 320","1","REQUISITION","REQUISITIONING_BU","","PR320-",""
"LE_268","","","PURCHASE_ORDER","SOLD_TO_LE","","AFPY268-",""
"LE_335","","","PURCHASE_ORDER","SOLD_TO_LE","","CPFL335-",""
"","Clearpay Finance Limited (UK) - 335","1","REQUISITION","REQUISITIONING_BU","","PR335-",""
"LE_339","","","PURCHASE_ORDER","SOLD_TO_LE","","CP339-",""
"","Clearpay Technology S.L. (ES) - 339","1","REQUISITION","REQUISITIONING_BU","","PR339-",""
"LE_203","","","PURCHASE_ORDER","SOLD_TO_LE","","AFPY203-",""
"","Afterpay Asia Pte. Ltd (previously Touchcorp Asia) (SG) - 203","1","REQUISITION","REQUISITIONING_BU","","PR203-",""
"LE_154","","","PURCHASE_ORDER","SOLD_TO_LE","","CA154-",""
"","Cash App Canada Payments ULC - 154","1","REQUISITION","REQUISITIONING_BU","","PR154-",""
"FR315","","","PURCHASE_ORDER","SOLD_TO_LE","","FR315-",""
"LE_316","","","PURCHASE_ORDER","SOLD_TO_LE","","SE316-",""
"LE_326","","","PURCHASE_ORDER","SOLD_TO_LE","","IE326-",""
"","Block Global B.V. (NL) - 311","1","REQUISITION","REQUISITIONING_BU","","PR311-",""
"","Cash App World Ltd - 149","1","REQUISITION","REQUISITIONING_BU","","PR149-",""
"","Square International Services Inc (US) - 103","1","REQUISITION","REQUISITIONING_BU","","PR103-",""
"","US","1","INITIATIVE","PROCUREMENT_BU","","",""
"","Japan","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"","Squareup International Services Ltd. (UK3) - 303","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"LE_320","","","PURCHASE_ORDER","SOLD_TO_LE","","TDL320-",""
"","Tidal Music AS (NO) - 321","1","REQUISITION","REQUISITIONING_BU","","PR321-",""
"LE_321","","","PURCHASE_ORDER","SOLD_TO_LE","","TDL321-",""
"LE_261","","","PURCHASE_ORDER","SOLD_TO_LE","","AFPY261-",""
"","Afterpay Pty Ltd (AU) - 261","1","REQUISITION","REQUISITIONING_BU","","PR261-",""
"LE_141","","","PURCHASE_ORDER","SOLD_TO_LE","","AFPY141-",""
"","Afterpay US, Inc. (US) - 141","1","REQUISITION","REQUISITIONING_BU","","PR141-",""
"LE_221","","","PURCHASE_ORDER","SOLD_TO_LE","","AFPY221-",""
"","Afterpay Information Technology Service (Shanghai) Co., Ltd. (CN) - 221","1","REQUISITION","REQUISITIONING_BU","","PR221-",""
"","Squareup (France) SAS (FR) - 315","1","REQUISITION","REQUISITIONING_BU","","PR315-",""
"","Snackskal AB (SE) - 316","1","REQUISITION","REQUISITIONING_BU","","PR316-",""
"","Block XYZ Limited (IE) - 326","1","REQUISITION","REQUISITIONING_BU","","PR326-",""
"","Square Trading (Shenzhen) Company Limited (CN) - 220","1","REQUISITION","REQUISITIONING_BU","","PR220-",""
"","Bitcoin HW US","1","REQUISITION","REQUISITIONING_BU","","PR101-",""
"","Bitcoin HW US","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","US101-",""
"","Bitcoin HW NL","1","REQUISITION","REQUISITIONING_BU","","PR311-",""
"","Bitcoin HW NL","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
"LE_329","","","PURCHASE_ORDER","SOLD_TO_LE","","IE329-",""
"LE_149","","","PURCHASE_ORDER","SOLD_TO_LE","","IE149-",""
"","Japan","1","PURCHASE_AGREEMENT","PROCUREMENT_BU","","",""
"","Cash App Investing LLC - 114","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"LE_114","","","PURCHASE_ORDER","SOLD_TO_LE","","US114-",""
"","Squareup Europe Limited (UK1) - 301","1","REQUISITION","REQUISITIONING_BU","","PR-",""
"LE_311","","","PURCHASE_ORDER","SOLD_TO_LE","","NL311-",""
"","Netherlands","1","REQUISITION","REQUISITIONING_BU","","PR311-",""
