"PER_LEGAL_EMPLOYER_ORG.OrganizationCode","PER_LEGAL_EMPLOYER_ORG.EffectiveStartDate","PER_LEGAL_EMPLOYER_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_103","0001/01/01","4712/12/31","Legal Employer","Square International Services Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square International Services Inc,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_151","0001/01/01","4712/12/31","Legal Employer","Square Canada Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Canada Inc.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CA","CA","A","","","","#null"
"LE_109","0001/01/01","4712/12/31","Legal Employer","Weebly LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Weebly LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_105","0001/01/01","4712/12/31","Legal Employer","Square Payroll Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Payroll Inc.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_001","0001/01/01","4712/12/31","Legal Employer","Block, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block, Inc.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_108","0001/01/01","4712/12/31","Legal Employer","Square Capital LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Capital LLC,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_250","2001/01/01","4712/12/31","Legal Employer","Square AU Pty Ltd","0001/01/01","2000/12/31","OrgUnitClassificationMigration","Square AU Pty Ltd,Legal Employer","0001/01/01","","","HCM_LEMP","AU","I","","","","#null"
"LE_250","2001/01/01","4712/12/31","Legal Employer","Square AU Pty Ltd","2001/01/01","4712/12/31","OrgUnitClassificationMigration","Square AU Pty Ltd,Legal Employer","","4712/12/31","","HCM_LEMP","AU","A","","","","#null"
"LE_301","0001/01/01","4712/12/31","Legal Employer","Squareup Europe Limited (UK)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup Europe Limited (UK),Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_302","0001/01/01","4712/12/31","Legal Employer","Squareup (UK) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup (UK) Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_GB","GB","A","","","","#null"
"LE_312","0001/01/01","4712/12/31","Legal Employer","Squareup International Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup International Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_IE","IE","A","","","","#null"
"LE_0006","0001/01/01","4712/12/31","Legal Employer","Square K.K.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square K.K.,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP","JP","A","","","","#null"
"LE_152","0001/01/01","4712/12/31","Legal Employer","Square Technologies, Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Technologies, Inc,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CA","CA","A","","","","#null"
"LE_112","0001/01/01","4712/12/31","Legal Employer","Square Money Services, Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Money Services, Inc,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_US","US","A","","","","#null"
"LE_220","0001/01/01","4712/12/31","Legal Employer","Square Trading (Shenzhen) Company Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Trading (Shenzhen) Company Limited,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_CN","CN","A","","","","#null"
"FR315","0001/01/01","4712/12/31","Legal Employer","Squareup (France) SAS","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup (France) SAS,Legal Employer","0001/01/01","4712/12/31","","HCM_LEMP_FR","FR","A","","","","#null"
