"PAY_PAYROLL_STATUTORY_UNIT_ORG.OrganizationCode","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveStartDate","PAY_PAYROLL_STATUTORY_UNIT_ORG.EffectiveEndDate","ClassificationName","OrganizationName","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","SetCode","CategoryCode","LegislationCode","Status","OrgUnitClassificationId","OrganizationId","ClassificationCode","SetId"
"LE_103","0001/01/01","4712/12/31","Payroll Statutory Unit","Square International Services Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square International Services Inc,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_151","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Canada Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Canada Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CA","CA","A","","","","#null"
"LE_109","0001/01/01","4712/12/31","Payroll Statutory Unit","Weebly LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Weebly LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_105","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Payroll Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Payroll Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_001","0001/01/01","4712/12/31","Payroll Statutory Unit","Block, Inc.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Block, Inc.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_108","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Capital LLC","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Capital LLC,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_250","2001/01/01","4712/12/31","Payroll Statutory Unit","Square AU Pty Ltd","0001/01/01","2000/12/31","OrgUnitClassificationMigration","Square AU Pty Ltd,Payroll Statutory Unit","0001/01/01","","","HCM_PSU","AU","I","","","","#null"
"LE_250","2001/01/01","4712/12/31","Payroll Statutory Unit","Square AU Pty Ltd","2001/01/01","4712/12/31","OrgUnitClassificationMigration","Square AU Pty Ltd,Payroll Statutory Unit","","4712/12/31","","HCM_PSU","AU","A","","","","#null"
"LE_301","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup Europe Limited (UK)","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup Europe Limited (UK),Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_302","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup (UK) Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup (UK) Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_GB","GB","A","","","","#null"
"LE_312","0001/01/01","4712/12/31","Payroll Statutory Unit","Squareup International Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Squareup International Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","IE","A","","","","#null"
"LE_0006","0001/01/01","4712/12/31","Payroll Statutory Unit","Square K.K.","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square K.K.,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU","JP","A","","","","#null"
"LE_152","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Technologies, Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Technologies, Inc,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CA","CA","A","","","","#null"
"LE_112","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Money Services, Inc","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Money Services, Inc,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_US","US","A","","","","#null"
"LE_220","0001/01/01","4712/12/31","Payroll Statutory Unit","Square Trading (Shenzhen) Company Limited","0001/01/01","4712/12/31","OrgUnitClassificationMigration","Square Trading (Shenzhen) Company Limited,Payroll Statutory Unit","0001/01/01","4712/12/31","","HCM_PSU_CN","CN","A","","","","#null"
