"OrganizationCode","Name","EffectiveStartDate","EffectiveEndDate","ViewInstanceName","GroupingKey","LogicalStartDate","LogicalEndDate","Title","CostAllocationKeyflexId","EstablishmentName","InternalAddressLine","InternalExternalFlag","LegalEntityIdentifier","LocationCode","LocationSetCode","Type","GUID","ActionReasonUsagesId","ActionCode","ActionReasonCode","OrganizationId","EstablishmentId","LegalEntityId","LocationId","LocationSetId","ActionId","ActionOccurrenceId","ActionReasonId"
"LE_103","Square International Services Inc","0001/01/01","4712/12/31","OrganizationMigration","6E075CD0585ED008E053120C1B0A89EA","0001/01/01","4712/12/31","","","","","INT","LE_103","","","","6E075CD0585ED008E053120C1B0A89EA","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_151","Square Canada Inc.","0001/01/01","4712/12/31","OrganizationMigration","6E076F5335BC3099E053140C1B0AB269","0001/01/01","4712/12/31","","","","","INT","LE_151","","","","6E076F5335BC3099E053140C1B0AB269","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_109","Weebly LLC","0001/01/01","4712/12/31","OrganizationMigration","6E10D6BEBB97F8AFE053140C1B0A93DB","0001/01/01","4712/12/31","","","","","INT","LE_109","","","","6E10D6BEBB97F8AFE053140C1B0A93DB","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_105","Square Payroll Inc.","0001/01/01","4712/12/31","OrganizationMigration","6E07578E4DB62596E053120C1B0AB9BB","0001/01/01","4712/12/31","","","","","INT","LE_105","","","","6E07578E4DB62596E053120C1B0AB9BB","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_001","Block, Inc.","0001/01/01","4712/12/31","OrganizationMigration","6E070A46168425B0E053120C1B0A116A","0001/01/01","4712/12/31","","","","","INT","LE_001","","","","6E070A46168425B0E053120C1B0A116A","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_108","Square Capital LLC","0001/01/01","4712/12/31","OrganizationMigration","6E07574CC6B6F87FE053140C1B0AE0CD","0001/01/01","4712/12/31","","","","","INT","LE_108","","","","6E07574CC6B6F87FE053140C1B0AE0CD","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_250","Square AU Pty Ltd","0001/01/01","2000/12/31","OrganizationMigration","76DF1F833DA94B2AE053120C1B0A036D","0001/01/01","","","","","","INT","LE_250","","","","76DF1F833DA94B2AE053120C1B0A036D","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_250","Square AU Pty Ltd","2001/01/01","4712/12/31","OrganizationMigration","76DF1F833DA94B2AE053120C1B0A036D","","4712/12/31","","","","","INT","LE_250","","","","76DF1F833DA94B2AE053120C1B0A036D","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_301","Squareup Europe Limited (UK)","0001/01/01","4712/12/31","OrganizationMigration","76E53429688E80B9E053120C1B0AF317","0001/01/01","4712/12/31","","","","","INT","LE_301","","","","76E53429688E80B9E053120C1B0AF317","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_302","Squareup (UK) Limited","0001/01/01","4712/12/31","OrganizationMigration","76E19687A5FE474FE053140C1B0A89C0","0001/01/01","4712/12/31","","","","","INT","LE_302","","","","76E19687A5FE474FE053140C1B0A89C0","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_312","Squareup International Limited","0001/01/01","4712/12/31","OrganizationMigration","76E98BBC9BECB38CE053140C1B0A83AB","0001/01/01","4712/12/31","","","","","INT","LE_312","","","","76E98BBC9BECB38CE053140C1B0A83AB","","PER_ORG_UPD","","","#null","","#null","#null","","","#null"
"LE_0006","Square K.K.","0001/01/01","4712/12/31","OrganizationMigration","809DF4B032F26E99E053140C1B0A881A","0001/01/01","4712/12/31","","","","","INT","LE_0006","","","","809DF4B032F26E99E053140C1B0A881A","","PER_ORG_NEW","","","#null","","#null","#null","","","#null"
"LE_152","Square Technologies, Inc","0001/01/01","4712/12/31","OrganizationMigration","8B4264D843D2CC29E053140C1B0A5E94","0001/01/01","4712/12/31","","","","","INT","LE_152","","","","8B4264D843D2CC29E053140C1B0A5E94","","PER_ORG_NEW","","","#null","","#null","#null","","","#null"
"LE_112","Square Money Services, Inc","0001/01/01","4712/12/31","OrganizationMigration","924F840E05FCE22BE053140C1B0A5288","0001/01/01","4712/12/31","","","","","INT","LE_112","","","","924F840E05FCE22BE053140C1B0A5288","","PER_ORG_NEW","","","#null","","#null","#null","","","#null"
"LE_220","Square Trading (Shenzhen) Company Limited","0001/01/01","4712/12/31","OrganizationMigration","A2C1270393494175E053120C1B0AAF74","0001/01/01","4712/12/31","","","","","INT","LE_220","","","","A2C1270393494175E053120C1B0AAF74","","PER_ORG_NEW","","","#null","","#null","#null","","","#null"
"FR315","Squareup (France) SAS","0001/01/01","4712/12/31","OrganizationMigration","A2C127FEAC84EEA3E053140C1B0A0DCA","0001/01/01","4712/12/31","","","","","INT","FR315","","","","A2C127FEAC84EEA3E053140C1B0A0DCA","","PER_ORG_NEW","","","#null","","#null","#null","","","#null"
