"XLA_ADR_RULE.AmbContextCode","XLA_ADR_RULE.ApplicationShortName","XLA_ADR_RULE.SegmentRuleCode","XLA_ADR_RULE.SegmentRuleTypeCode","XLA_ADR_RULE_DETAIL.AmbContextCode","XLA_ADR_RULE_DETAIL.ApplicationShortName","XLA_ADR_RULE_DETAIL.SegmentRuleCode","XLA_ADR_RULE_DETAIL.SegmentRuleTypeCode","XLA_ADR_RULE_DETAIL.UserSequence","AmbContextCode","AccountingLineCode","AccountingLineTypeCode","EntityCode","EventClassCode","UserSequence","ApplicationShortName","SegmentRuleCode","SegmentRuleTypeCode","UserSequence1","DescriptionCode","DescriptionTypeCode","UserSequence2","ApplicationShortNameXLA1","ApplicationShortNameXLA2","BracketLeftCode","BracketRightCode","CreatedBy","CreationDate","FlexfieldSegmentCode","IndependentValueConstant","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","LineOperatorCode","LogicalOperatorCode","SourceCode","SourceTypeCode","SourceOriginCode","ValueConstant","ValueFlexfieldSegmentCode","ValueSourceCode","ValueSourceTypeCode","ValueTypeCode","ValueSourceOriginCode","SourceAppShortName","ValueSourceAppShortName","AmbContextCode1","ApplicationShortName1","AmbContextCode2","ApplicationShortName2","ApplicationShortNameXLA","SourceAppShortNameXLA","ValueSourceAppShortNameXLA"
"DEFAULT","AP","XXSQ_DEPT_EXPENSE_TIDAL","C","DEFAULT","","XXSQ_DEPT_EXPENSE_TIDAL","C","1","DEFAULT","","","","","10","AP","XXSQ_DEPT_EXPENSE_TIDAL","C","1","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:45:54.136","","","2025/06/25 05:45:54.278","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL","F","C","Y","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_DEPT_EXPENSE_TIDAL","C","DEFAULT","","XXSQ_DEPT_EXPENSE_TIDAL","C","2","DEFAULT","","","","","10","AP","XXSQ_DEPT_EXPENSE_TIDAL","C","2","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:50:17.001","","","2025/06/25 05:50:17.062","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL","F","C","N","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","1","DEFAULT","","","","","10","AP","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","1","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:49:20.817","","","2025/06/25 05:49:20.874","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","Y","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","2","DEFAULT","","","","","10","AP","XXSQ_DEPT_EXPENSE_TIDAL_CM","C","2","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:49:20.83","","","2025/06/25 05:49:20.881","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","N","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","1","DEFAULT","","","","","10","AP","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","1","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:55:54.054","","","2025/06/25 05:55:54.102","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","Y","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","2","DEFAULT","","","","","10","AP","XXSQ_PRODUCT_EXPENSE_TIDAL_CM","C","2","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:55:54.064","","","2025/06/25 05:55:54.109","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","N","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_ITEM_EXPENSE_TIDAL","C","DEFAULT","","XXSQ_ITEM_EXPENSE_TIDAL","C","1","DEFAULT","","","","","10","AP","XXSQ_ITEM_EXPENSE_TIDAL","C","1","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:51:37.273","","","2025/06/25 05:51:37.317","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL","F","C","Y","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_ITEM_EXPENSE_TIDAL","C","DEFAULT","","XXSQ_ITEM_EXPENSE_TIDAL","C","2","DEFAULT","","","","","10","AP","XXSQ_ITEM_EXPENSE_TIDAL","C","2","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:51:37.283","","","2025/06/25 05:51:37.319","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL","F","C","N","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","1","DEFAULT","","","","","10","AP","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","1","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:53:05.09","","","2025/06/25 05:53:05.132","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","Y","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
"DEFAULT","AP","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","DEFAULT","","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","2","DEFAULT","","","","","10","AP","XXSQ_ITEM_EXPENSE_TIDAL_CM","C","2","","","","AP","","","","bhagyashree@squareup.com","2025/06/25 05:53:05.1","","","2025/06/25 05:53:05.134","385EE10DFE9CEFB2E0639696500AAFDA","bhagyashree@squareup.com","E","","XXSQ_TIDAL_CM","F","C","N","","","","C","","AP","","DEFAULT","AP","","","AP","AP",""
