"ShortCode","TypeName","Attribute1","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14","Attribute15","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","AttributeCategory","CoContTermsLayoutCode","CoLayoutTemplate","ContractTemplateCode","CreatedBy","CreationDate","DocumentSubtype","DocumentTemplateCode","DocumentTypeCode","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","EnterpriseId","CoTemplateCode","ResponseTemplateCode","TemplateExistsFlag"
"Ireland","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.125","BUYER AUCTION","Negotiation Layout","AUCTION","2018/09/28 03:12:27.235","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","","Response Layout","N"
"Ireland","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.168","BLANKET","Purchase Agreement Layout","PA","2018/09/28 03:12:27.243","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Ireland","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.19","CONTRACT","Purchase Agreement Layout","PA","2018/09/28 03:12:27.247","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Ireland","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.206","STANDARD","Purchase Order Layout","PO","2018/09/28 03:12:27.248","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","Y"
"Ireland","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.22","SOURCING RFI","Negotiation Layout","SOURCING RFI","2018/09/28 03:12:27.251","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","","Response Layout","N"
"Ireland","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","venkat@squareup.com","2018/09/28 03:11:03.248","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2018/09/28 03:12:27.255","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","1","","Response Layout","N"
"Singapore SGD","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:19.707","BUYER AUCTION","Negotiation Layout","AUCTION","2022/06/09 19:16:52.891","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","","Response Layout","N"
"Singapore SGD","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:19.827","BLANKET","Custom BPA PDF","PA","2022/06/09 19:17:48.318","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
"Singapore SGD","Contract Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Contract Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:19.996","CONTRACT","Purchase Agreement Layout","PA","2022/06/09 19:16:52.906","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","CPA_CHANGE_ORDER_TEMPLATE","","N"
"Singapore SGD","Purchase Order","","","","","","","","","","","","","","","","","ContractTermsProcurement","Purchase Order Change Order Layout","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:20.007","STANDARD","SQ Purchase Order Print Template PO Mask","PO","2022/06/09 19:17:31.095","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","PO_CHANGE_ORDER_TEMPLATE","","N"
"Singapore SGD","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:20.015","SOURCING RFI","Negotiation Layout","SOURCING RFI","2022/06/09 19:16:52.909","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","","Response Layout","N"
"Singapore SGD","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2022/06/09 19:14:20.028","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2022/06/09 19:16:52.914","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","1","","Response Layout","N"
"Netherlands","Auction","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.014","BUYER AUCTION","Negotiation Layout","AUCTION","2021/06/29 12:08:38.174","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","","Response Layout","N"
"Netherlands","RFI","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.056","SOURCING RFI","Negotiation Layout","SOURCING RFI","2021/06/29 12:08:38.286","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","","Response Layout","N"
"Netherlands","RFQ","","","","","","","","","","","","","","","","","ContractTermsProcurement","","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.062","SOURCING RFQ","Negotiation Layout","SOURCING RFQ","2021/06/29 12:08:38.326","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","","Response Layout","N"
"Netherlands","Blanket Purchase Agreement","","","","","","","","","","","","","","","","","ContractTermsProcurement","Blanket Purchase Agreement Change Order Layout","ContractTermsProcurement","phani@squareup.com","2021/06/29 12:06:25.033","BLANKET","Custom BPA PDF","PA","2021/06/29 12:08:38.22","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","1","BPA_CHANGE_ORDER_TEMPLATE","","N"
