"PO_DOCUMENT_TYPE.ShortCode","PO_DOCUMENT_TYPE.TypeName","CreatedBy","CreationDate","DocumentSubtype","DocumentTypeCode","Language","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","SourceLang","TypeName"
"Ireland","Auction","venkat@squareup.com","2018/09/28 03:11:03.128","BUYER AUCTION","AUCTION","US","2018/09/28 03:12:27.239","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","Auction"
"Ireland","Blanket Purchase Agreement","venkat@squareup.com","2018/09/28 03:11:03.17","BLANKET","PA","US","2018/09/28 03:12:27.245","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","Blanket Purchase Agreement"
"Ireland","Contract Purchase Agreement","venkat@squareup.com","2018/09/28 03:11:03.191","CONTRACT","PA","US","2018/09/28 03:12:27.248","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","Contract Purchase Agreement"
"Ireland","Purchase Order","venkat@squareup.com","2018/09/28 03:11:03.208","STANDARD","PO","US","2018/09/28 03:12:27.251","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","Purchase Order"
"Ireland","RFI","venkat@squareup.com","2018/09/28 03:11:03.221","SOURCING RFI","SOURCING RFI","US","2018/09/28 03:12:27.253","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","RFI"
"Ireland","RFQ","venkat@squareup.com","2018/09/28 03:11:03.25","SOURCING RFQ","SOURCING RFQ","US","2018/09/28 03:12:27.256","7607413D92F5B025E053140C1B0A1AA6","venkat@squareup.com","US","RFQ"
"Singapore SGD","Auction","phani@squareup.com","2022/06/09 19:14:19.724","BUYER AUCTION","AUCTION","US","2022/06/09 19:16:52.897","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Auction"
"Singapore SGD","Blanket Purchase Agreement","phani@squareup.com","2022/06/09 19:14:19.829","BLANKET","PA","US","2022/06/09 19:16:52.904","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Blanket Purchase Agreement"
"Singapore SGD","Contract Purchase Agreement","phani@squareup.com","2022/06/09 19:14:19.997","CONTRACT","PA","US","2022/06/09 19:16:52.907","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Contract Purchase Agreement"
"Singapore SGD","Purchase Order","phani@squareup.com","2022/06/09 19:14:20.007","STANDARD","PO","US","2022/06/09 19:16:52.908","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","Purchase Order"
"Singapore SGD","RFI","phani@squareup.com","2022/06/09 19:14:20.015","SOURCING RFI","SOURCING RFI","US","2022/06/09 19:16:52.911","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFI"
"Singapore SGD","RFQ","phani@squareup.com","2022/06/09 19:14:20.029","SOURCING RFQ","SOURCING RFQ","US","2022/06/09 19:16:52.915","E0F9F58906A3F9B6E0539696500A6C4D","phani@squareup.com","US","RFQ"
"Netherlands","Auction","phani@squareup.com","2021/06/29 12:06:25.019","BUYER AUCTION","AUCTION","US","2021/06/29 12:08:38.2","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","Auction"
"Netherlands","RFI","phani@squareup.com","2021/06/29 12:06:25.057","SOURCING RFI","SOURCING RFI","US","2021/06/29 12:08:38.289","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","RFI"
"Netherlands","RFQ","phani@squareup.com","2021/06/29 12:06:25.063","SOURCING RFQ","SOURCING RFQ","US","2021/06/29 12:08:38.328","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","RFQ"
"Netherlands","Blanket Purchase Agreement","phani@squareup.com","2021/06/29 12:06:25.034","BLANKET","PA","US","2021/06/29 12:08:38.223","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","Blanket Purchase Agreement"
"Netherlands","Contract Purchase Agreement","phani@squareup.com","2021/06/29 12:06:25.041","CONTRACT","PA","US","2021/06/29 12:08:38.277","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","Contract Purchase Agreement"
"Netherlands","Purchase Order","phani@squareup.com","2021/06/29 12:06:25.05","STANDARD","PO","US","2021/06/29 12:08:38.285","C2E902B4A87D4FDCE053A162500A91A6","phani@squareup.com","US","Purchase Order"
"Bitcoin HW NL","Auction","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.518","BUYER AUCTION","AUCTION","US","2023/06/20 05:19:53.449","FE7D9AB47A29D884E0534893500AFB35","sqinterface_oracle@squareup.com","US","Auction"
