"ShortCode","AllowItemDescUpdateFlag","BestPriceVisibleBlind","CatAdminAuthoringAcceptance","CollabSecurityProfileId","CreateDebitMemoFlag","CreatedBy","CreationDate","CurrencyCode","DefaultPromiseDate","DefaultRateType","EmailAttachmentFilename","EnforceBuyerAuthorityFlag","EnforceMinBidPrice","EnforceVendorHoldFlag","FobLookupCode","FreightTermsLookupCode","GlobalAttribute1","GlobalAttribute10","GlobalAttribute11","GlobalAttribute12","GlobalAttribute13","GlobalAttribute14","GlobalAttribute15","GlobalAttribute16","GlobalAttribute17","GlobalAttribute18","GlobalAttribute19","GlobalAttribute2","GlobalAttribute20","GlobalAttribute3","GlobalAttribute4","GlobalAttribute5","GlobalAttribute6","GlobalAttribute7","GlobalAttribute8","GlobalAttribute9","GlobalAttributeCategory","GroupRequisitionLines","GroupRequisitions","HdrAttrDefaultMaxScore","HdrAttrDispScoreCriteria","HdrAttrEnableWeights","InspectionRequiredFlag","InvoiceCloseCode","InvoiceCloseTolerance","LanguageCode","LastUpdateDate","LastUpdateLogin","LastUpdatedBy","ManualReceiptNumType","ManualReqNumType","MatchOption","MaxAttachmentSize","MinReleaseAmount","NextApproverLookupCode","NextNegotiationNumber","PriceBreakLookupCode","PriceChangeAmount","RankIndicator","RankVisibleBlind","ReceiveCloseCode","ReceiveCloseTolerance","ReceivingFlag","RfqOnlySiteFlag","SupplierAuthoringAcceptance","SupplierHistoryDuration","TaxFromItemFlag","TaxFromShipToLocFlag","TaxFromSystemFlag","TaxFromVendorFlag","TaxFromVendorSiteFlag","TaxHierItem","TaxHierShipToLoc","TaxHierSystem","TaxHierVendor","TaxHierVendorSite","TaxableFlag","UseRequestedDate","UseShipTo","UserDefinedReceiptNumCode","UserDefinedReqNumCode","EnterpriseId","Name","PartyName","LineTypeCode","StyleName","OrganizationCode","InternalName","AgingOnsetPoint","AgingPeriodDays","ConsumptionAdviceFrequency","ConsumptionAdviceSummary","ModeOfTransport","ServiceLevel","BuyerManagedTransportation","GenOrderForNegReqsFlag","SystemConfiguredFlag","AllowManulPriceUpdateOrder","NegApprovalEnabledFlag","AwardApprovalEnabledFlag","PoCreationProcess","DateFormatCode","LanguageCode1","NumberFormatCode","TimeFormatCode","TimezoneCode","PrcBuId1","OnlyShowNegFromBuFlag","UseShipToForGroupReqs","SourcingSuppEligibilityFlag","CommunicateCoFlag","AutoSourcingFlag","GenerateOrdersAutomatic","PunchoutSourcingOnlyFlag","SubmitApprovalAutomatic","CommunicatePaFlag","BypassApprovalFlag","InitiateApprovalFlag","EnforceTemplateFlag","DefaultSuppRespFromSqm","MatchingLineActionType","AutoStageReqLines"
"Ireland","Y","N","","","","venkat@squareup.com","2018/09/28 03:11:02.0","EUR","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2025/07/31 18:07:10.915","3B3D85539B88EA01E0639696500A01FF","sqfinance@squareup.com","","","","0","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","Y","Y","Y","N","Y","N","N","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Singapore SGD","Y","N","","","","phani@squareup.com","2022/06/09 19:14:19.0","SGD","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2022/08/17 19:19:13.494","E663312612F63F1FE0539696500A419E","dhatri@squareup.com","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 60","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","N","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Netherlands","Y","N","","","","phani@squareup.com","2021/06/29 12:06:25.001","EUR","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2024/11/25 20:06:51.985","27B699F96D53B7B9E0634893500A96E7","edwardj@block.xyz","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Bitcoin HW NL","Y","N","","","","sqinterface_oracle@squareup.com","2023/06/20 05:18:51.001","USD","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2024/11/25 19:58:22.639","27B699F96D53B7B9E0634893500A96E7","edwardj@block.xyz","","","","100","","","","NON CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Sweden","Y","N","","","","shashi@squareup.com","2023/02/27 08:05:28.0","SEK","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2024/11/25 20:12:33.028","27B699F96D53B7B9E0634893500A96E7","edwardj@block.xyz","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 60","","","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Square Financial Services (US) - 131","Y","N","","","","srimanth@squareup.com","2021/02/26 19:59:22.001","USD","","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2022/08/17 19:19:54.878","E663312612F63F1FE0539696500A419E","dhatri@squareup.com","","","","0","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","Y","Y","Y","N","Y","Y","N","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Global Risk Engagement B.V. (TWN) - 215","Y","N","","","","phani@squareup.com","2021/06/04 09:49:44.0","TWD","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","","2022/08/17 19:17:10.781","E663312612F63F1FE0539696500A419E","dhatri@squareup.com","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Spain","Y","N","","","","phani@squareup.com","2021/01/12 07:42:00.001","EUR","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2024/11/25 20:07:41.034","27B699F96D53B7B9E0634893500A96E7","edwardj@block.xyz","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 30","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"Canada","Y","N","","","","venkat@squareup.com","2018/06/10 21:59:28.001","CAD","","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","N","N","5","N","Y","N","","0","US","2025/07/31 18:11:09.791","3B3D85539B88EA01E0639696500A01FF","sqfinance@squareup.com","","","","0","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","N","N","","","1","Net 60","","Goods","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","Y","Y","Y","N","Y","N","N","N","N","Y","ORA_UPDATE_BPA_LINE","N"
"USD - International","Y","N","","","","shashi@squareup.com","2023/02/27 08:12:04.01","EUR","Y","Corporate","Attachments.zip","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","5","N","Y","N","","0","US","2024/11/25 20:05:33.421","27B699F96D53B7B9E0634893500A96E7","edwardj@block.xyz","","","","100","","","","CUMULATIVE","","NUMBERING","N","RECEIVED","0","Y","","","6","","","","","","","","","","","","","Y","","","1","Net 60","","","Standard Style","MAS","REQUEST_FOR_QUOTE","NONE","","DAILY","ALL_INVENTORY_ORGS","","","N","Y","","N","N","N","CREATE_IN_FUSION_PURCHASING","","","","","","","","N","","N","Y","Y","N","Y","Y","Y","N","N","Y","ORA_UPDATE_BPA_LINE","N"
